region_id,vintage_year,growing_season_temp_c,gdd,days_above_30,days_above_35,spring_frost_days,rain_apr_sep_mm,rain_jul_aug_mm,rain_sep_mm,longest_dry_spell_days,water_stress_index,harvest_rain_risk_index,flags,summary,monthly,source_type,confidence
alsace,2010,1.5,0.0,0,0,1,51.0,24.1,5.8,32,53.0,5.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2010 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":-0.2,""rainfallMm"":5.9},{""month"":2,""temperatureC"":0.1,""rainfallMm"":10.1},{""month"":3,""temperatureC"":0.5,""rainfallMm"":5.5},{""month"":4,""temperatureC"":1.0,""rainfallMm"":2.8},{""month"":5,""temperatureC"":1.1,""rainfallMm"":11.1},{""month"":6,""temperatureC"":1.7,""rainfallMm"":7.2},{""month"":7,""temperatureC"":2.0,""rainfallMm"":8.8},{""month"":8,""temperatureC"":1.7,""rainfallMm"":15.3},{""month"":9,""temperatureC"":1.3,""rainfallMm"":5.8},{""month"":10,""temperatureC"":0.9,""rainfallMm"":5.0},{""month"":11,""temperatureC"":0.5,""rainfallMm"":11.1},{""month"":12,""temperatureC"":-0.1,""rainfallMm"":17.4}]",real,0.95
alsace,2011,1.62,0.0,0,0,0,43.3,20.8,4.8,60,54.0,5.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2011 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.2,""rainfallMm"":6.9},{""month"":2,""temperatureC"":0.3,""rainfallMm"":2.6},{""month"":3,""temperatureC"":0.7,""rainfallMm"":3.3},{""month"":4,""temperatureC"":1.3,""rainfallMm"":2.5},{""month"":5,""temperatureC"":1.5,""rainfallMm"":4.5},{""month"":6,""temperatureC"":1.7,""rainfallMm"":10.6},{""month"":7,""temperatureC"":1.6,""rainfallMm"":11.0},{""month"":8,""temperatureC"":1.9,""rainfallMm"":9.8},{""month"":9,""temperatureC"":1.7,""rainfallMm"":4.8},{""month"":10,""temperatureC"":1.0,""rainfallMm"":6.1},{""month"":11,""temperatureC"":0.6,""rainfallMm"":0.8},{""month"":12,""temperatureC"":0.4,""rainfallMm"":23.4}]",real,0.95
alsace,2012,1.56,0.0,0,0,3,53.3,17.1,7.2,21,48.0,8.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2012 : gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.3,""rainfallMm"":13.6},{""month"":2,""temperatureC"":-0.2,""rainfallMm"":1.8},{""month"":3,""temperatureC"":0.9,""rainfallMm"":1.9},{""month"":4,""temperatureC"":0.9,""rainfallMm"":9.0},{""month"":5,""temperatureC"":1.5,""rainfallMm"":8.7},{""month"":6,""temperatureC"":1.7,""rainfallMm"":11.2},{""month"":7,""temperatureC"":1.8,""rainfallMm"":10.0},{""month"":8,""temperatureC"":2.0,""rainfallMm"":7.1},{""month"":9,""temperatureC"":1.5,""rainfallMm"":7.2},{""month"":10,""temperatureC"":1.0,""rainfallMm"":10.2},{""month"":11,""temperatureC"":0.6,""rainfallMm"":14.4},{""month"":12,""temperatureC"":0.3,""rainfallMm"":17.7}]",real,0.95
alsace,2013,1.53,0.0,0,0,6,52.8,11.4,10.7,33,57.0,12.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2013 : gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.1,""rainfallMm"":7.1},{""month"":2,""temperatureC"":-0.1,""rainfallMm"":8.2},{""month"":3,""temperatureC"":0.3,""rainfallMm"":5.3},{""month"":4,""temperatureC"":0.9,""rainfallMm"":10.2},{""month"":5,""temperatureC"":1.1,""rainfallMm"":13.8},{""month"":6,""temperatureC"":1.7,""rainfallMm"":6.7},{""month"":7,""temperatureC"":2.1,""rainfallMm"":4.1},{""month"":8,""temperatureC"":1.9,""rainfallMm"":7.2},{""month"":9,""temperatureC"":1.5,""rainfallMm"":10.7},{""month"":10,""temperatureC"":1.2,""rainfallMm"":15.5},{""month"":11,""temperatureC"":0.5,""rainfallMm"":12.8},{""month"":12,""temperatureC"":0.4,""rainfallMm"":7.8}]",real,0.95
alsace,2014,1.57,0.0,0,0,0,48.7,28.6,3.5,36,52.0,4.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2014 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.4,""rainfallMm"":7.3},{""month"":2,""temperatureC"":0.5,""rainfallMm"":9.2},{""month"":3,""temperatureC"":0.8,""rainfallMm"":1.5},{""month"":4,""temperatureC"":1.2,""rainfallMm"":3.0},{""month"":5,""temperatureC"":1.3,""rainfallMm"":9.0},{""month"":6,""temperatureC"":1.8,""rainfallMm"":4.5},{""month"":7,""temperatureC"":1.9,""rainfallMm"":17.6},{""month"":8,""temperatureC"":1.6,""rainfallMm"":11.0},{""month"":9,""temperatureC"":1.6,""rainfallMm"":3.5},{""month"":10,""temperatureC"":1.3,""rainfallMm"":9.7},{""month"":11,""temperatureC"":0.7,""rainfallMm"":7.1},{""month"":12,""temperatureC"":0.3,""rainfallMm"":7.8}]",real,0.95
alsace,2015,1.64,0.0,0,0,4,40.3,9.3,7.8,47,57.0,13.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2015 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.2,""rainfallMm"":12.8},{""month"":2,""temperatureC"":0.1,""rainfallMm"":4.3},{""month"":3,""temperatureC"":0.6,""rainfallMm"":6.9},{""month"":4,""temperatureC"":1.0,""rainfallMm"":7.7},{""month"":5,""temperatureC"":1.4,""rainfallMm"":9.7},{""month"":6,""temperatureC"":1.8,""rainfallMm"":5.8},{""month"":7,""temperatureC"":2.2,""rainfallMm"":3.1},{""month"":8,""temperatureC"":2.0,""rainfallMm"":6.2},{""month"":9,""temperatureC"":1.4,""rainfallMm"":7.8},{""month"":10,""temperatureC"":0.9,""rainfallMm"":3.4},{""month"":11,""temperatureC"":0.8,""rainfallMm"":10.7},{""month"":12,""temperatureC"":0.7,""rainfallMm"":2.1}]",real,0.95
alsace,2016,1.59,0.0,0,0,2,53.4,7.9,4.2,43,58.0,4.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2016 : profil proche de la normale regionale, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.3,""rainfallMm"":17.7},{""month"":2,""temperatureC"":0.4,""rainfallMm"":13.7},{""month"":3,""temperatureC"":0.5,""rainfallMm"":8.2},{""month"":4,""temperatureC"":0.9,""rainfallMm"":13.0},{""month"":5,""temperatureC"":1.3,""rainfallMm"":12.3},{""month"":6,""temperatureC"":1.7,""rainfallMm"":16.0},{""month"":7,""temperatureC"":2.0,""rainfallMm"":4.4},{""month"":8,""temperatureC"":1.9,""rainfallMm"":3.5},{""month"":9,""temperatureC"":1.7,""rainfallMm"":4.2},{""month"":10,""temperatureC"":0.9,""rainfallMm"":5.4},{""month"":11,""temperatureC"":0.5,""rainfallMm"":8.5},{""month"":12,""temperatureC"":0.2,""rainfallMm"":0.7}]",real,0.95
alsace,2017,1.6,0.0,0,0,4,40.9,14.1,7.4,64,56.0,8.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2017 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":-0.2,""rainfallMm"":4.7},{""month"":2,""temperatureC"":0.5,""rainfallMm"":9.0},{""month"":3,""temperatureC"":0.8,""rainfallMm"":8.4},{""month"":4,""temperatureC"":0.9,""rainfallMm"":3.6},{""month"":5,""temperatureC"":1.5,""rainfallMm"":7.7},{""month"":6,""temperatureC"":1.9,""rainfallMm"":8.1},{""month"":7,""temperatureC"":2.0,""rainfallMm"":8.2},{""month"":8,""temperatureC"":1.9,""rainfallMm"":5.9},{""month"":9,""temperatureC"":1.3,""rainfallMm"":7.4},{""month"":10,""temperatureC"":1.2,""rainfallMm"":5.6},{""month"":11,""temperatureC"":0.5,""rainfallMm"":13.0},{""month"":12,""temperatureC"":0.3,""rainfallMm"":12.4}]",real,0.95
alsace,2018,1.77,0.0,0,0,1,37.1,10.0,4.4,102,57.0,5.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":false,""forteChaleur"":false}","Alsace 2018 : sec, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.5,""rainfallMm"":23.4},{""month"":2,""temperatureC"":-0.1,""rainfallMm"":3.7},{""month"":3,""temperatureC"":0.4,""rainfallMm"":7.1},{""month"":4,""temperatureC"":1.3,""rainfallMm"":4.2},{""month"":5,""temperatureC"":1.6,""rainfallMm"":11.4},{""month"":6,""temperatureC"":1.9,""rainfallMm"":7.1},{""month"":7,""temperatureC"":2.1,""rainfallMm"":4.6},{""month"":8,""temperatureC"":2.1,""rainfallMm"":5.4},{""month"":9,""temperatureC"":1.6,""rainfallMm"":4.4},{""month"":10,""temperatureC"":1.1,""rainfallMm"":2.7},{""month"":11,""temperatureC"":0.6,""rainfallMm"":3.5},{""month"":12,""temperatureC"":0.4,""rainfallMm"":15.7}]",real,0.95
alsace,2019,1.6,0.0,0,0,4,40.3,13.0,5.3,41,56.0,7.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2019 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.1,""rainfallMm"":8.8},{""month"":2,""temperatureC"":0.5,""rainfallMm"":4.3},{""month"":3,""temperatureC"":0.7,""rainfallMm"":11.7},{""month"":4,""temperatureC"":0.9,""rainfallMm"":7.6},{""month"":5,""temperatureC"":1.1,""rainfallMm"":7.6},{""month"":6,""temperatureC"":2.0,""rainfallMm"":6.8},{""month"":7,""temperatureC"":2.1,""rainfallMm"":5.5},{""month"":8,""temperatureC"":2.0,""rainfallMm"":7.6},{""month"":9,""temperatureC"":1.5,""rainfallMm"":5.3},{""month"":10,""temperatureC"":1.2,""rainfallMm"":13.0},{""month"":11,""temperatureC"":0.5,""rainfallMm"":9.3},{""month"":12,""temperatureC"":0.4,""rainfallMm"":13.6}]",real,0.95
alsace,2020,1.67,0.0,0,0,4,33.1,9.0,6.1,73,57.0,8.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2020 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.4,""rainfallMm"":4.6},{""month"":2,""temperatureC"":0.6,""rainfallMm"":18.1},{""month"":3,""temperatureC"":0.6,""rainfallMm"":8.5},{""month"":4,""temperatureC"":1.3,""rainfallMm"":1.6},{""month"":5,""temperatureC"":1.4,""rainfallMm"":6.7},{""month"":6,""temperatureC"":1.7,""rainfallMm"":9.7},{""month"":7,""temperatureC"":2.0,""rainfallMm"":2.1},{""month"":8,""temperatureC"":2.1,""rainfallMm"":6.9},{""month"":9,""temperatureC"":1.6,""rainfallMm"":6.1},{""month"":10,""temperatureC"":1.0,""rainfallMm"":11.2},{""month"":11,""temperatureC"":0.7,""rainfallMm"":2.9},{""month"":12,""temperatureC"":0.4,""rainfallMm"":10.6}]",real,0.95
alsace,2021,1.48,0.0,0,0,9,56.3,20.7,2.9,56,54.0,2.0,"{""solaire"":false,""frais"":false,""sec"":false,""pluvieux"":true,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2021 : pluvieux, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.1,""rainfallMm"":17.1},{""month"":2,""temperatureC"":0.4,""rainfallMm"":6.0},{""month"":3,""temperatureC"":0.6,""rainfallMm"":7.4},{""month"":4,""temperatureC"":0.8,""rainfallMm"":3.3},{""month"":5,""temperatureC"":1.1,""rainfallMm"":15.9},{""month"":6,""temperatureC"":1.9,""rainfallMm"":13.5},{""month"":7,""temperatureC"":1.8,""rainfallMm"":13.6},{""month"":8,""temperatureC"":1.7,""rainfallMm"":7.1},{""month"":9,""temperatureC"":1.6,""rainfallMm"":2.9},{""month"":10,""temperatureC"":1.0,""rainfallMm"":6.4},{""month"":11,""temperatureC"":0.4,""rainfallMm"":4.8},{""month"":12,""temperatureC"":0.4,""rainfallMm"":10.9}]",real,0.95
alsace,2022,1.7,0.0,0,0,4,41.2,6.9,11.9,58,58.0,15.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2022 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.2,""rainfallMm"":5.9},{""month"":2,""temperatureC"":0.5,""rainfallMm"":8.2},{""month"":3,""temperatureC"":0.7,""rainfallMm"":2.2},{""month"":4,""temperatureC"":0.9,""rainfallMm"":9.2},{""month"":5,""temperatureC"":1.6,""rainfallMm"":2.7},{""month"":6,""temperatureC"":2.0,""rainfallMm"":10.5},{""month"":7,""temperatureC"":2.1,""rainfallMm"":1.7},{""month"":8,""temperatureC"":2.1,""rainfallMm"":5.1},{""month"":9,""temperatureC"":1.4,""rainfallMm"":11.9},{""month"":10,""temperatureC"":1.4,""rainfallMm"":10.1},{""month"":11,""temperatureC"":0.8,""rainfallMm"":9.6},{""month"":12,""temperatureC"":0.3,""rainfallMm"":8.3}]",real,0.95
alsace,2023,1.68,0.0,0,0,3,38.5,19.4,3.1,43,54.0,2.0,"{""solaire"":false,""frais"":false,""sec"":true,""pluvieux"":false,""stressHydrique"":false,""risquePluieVendanges"":false,""gelPrintemps"":true,""forteChaleur"":false}","Alsace 2023 : sec, gel de printemps, calcule a partir des observations quotidiennes Meteo-France.","[{""month"":1,""temperatureC"":0.4,""rainfallMm"":8.4},{""month"":2,""temperatureC"":0.4,""rainfallMm"":1.6},{""month"":3,""temperatureC"":0.7,""rainfallMm"":12.0},{""month"":4,""temperatureC"":0.9,""rainfallMm"":7.3},{""month"":5,""temperatureC"":1.4,""rainfallMm"":4.6},{""month"":6,""temperatureC"":2.0,""rainfallMm"":4.1},{""month"":7,""temperatureC"":2.0,""rainfallMm"":9.8},{""month"":8,""temperatureC"":1.9,""rainfallMm"":9.6},{""month"":9,""temperatureC"":1.8,""rainfallMm"":3.1},{""month"":10,""temperatureC"":1.3,""rainfallMm"":11.9},{""month"":11,""temperatureC"":0.6,""rainfallMm"":20.6},{""month"":12,""temperatureC"":0.5,""rainfallMm"":12.3}]",real,0.95
